name,code,case
Afghanistan,AFG,231779
Albania,ALB,334863
Algeria,DZA,272010
American Samoa,ASM,8359
Andorra,AND,48015
Angola,AGO,107322
Anguilla,AIA,3904
Antigua and Barbuda,ATG,9106
Argentina,ARG,10094643
Armenia,ARM,451426
Aruba,ABW,44224
Australia,AUS,11777749
Austria,AUT,6081287
Azerbaijan,AZE,834649
Bahamas,BHS,38084
Bahrain,BHR,696614
Bangladesh,BGD,2047552
Barbados,BRB,110375
Belarus,BLR,994037
Belgium,BEL,4858260
Belize,BLZ,71381
Benin,BEN,28036
Bermuda,BMU,18860
Bhutan,BTN,62697
Bolivia (Plurinational State of),BOL,1211716
"Bonaire, Saint Eustatius and Saba",BES,11922
Bosnia and Herzegovina,BIH,403565
Botswana,BWA,330417
Brazil,BRA,37519960
British Virgin Islands,VGB,7392
Brunei Darussalam,BRN,343075
Bulgaria,BGR,1328461
Burkina Faso,BFA,22109
Burundi,BDI,54552
Cabo Verde,CPV,64474
Cambodia,KHM,139087
Cameroon,CMR,125137
Canada,CAN,4776447
Cayman Islands,CYM,31472
Central African Republic,CAF,15440
Chad,TCD,7698
Chile,CHL,5303601
China,CHN,99330516
Colombia,COL,6376277
Comoros,COM,9109
Congo,COD,25213
Cook Islands,COG,7203
Costa Rica,COK,1230653
Côte d'Ivoire,CRI,88384
Croatia,HRV,1309728
Cuba,CUB,1115043
Curaçao,CUW,45883
Cyprus,CYP,681110
Czechia,CZE,4762481
Democratic People's Republic of Korea,PRK,0
Denmark,DNK,3434162
Djibouti,DJI,15690
Dominica,DMA,15760
Dominican Republic,DOM,661180
Ecuador,ECU,1066530
Egypt,EGY,516023
El Salvador,SLV,201806
Equatorial Guinea,GNQ,17130
Eritrea,ERI,10189
Estonia,EST,609926
Eswatini,SWZ,75191
Ethiopia,ETH,501117
Falkland Islands (Malvinas),FLK,1923
Faroe Islands,FRO,34658
Fiji,FJI,69047
Finland,FIN,1499712
France,FRA,38997490
French Guiana,GUF,98041
French Polynesia,PYF,79254
Gabon,GAB,49051
Gambia,GMB,12626
Georgia,GEO,1855289
Germany,DEU,38437756
Ghana,GHA,171834
Gibraltar,GIB,20550
Greece,GRC,5618747
Greenland,GRL,11971
Grenada,GRD,19693
Guadeloupe,GLP,203235
Guam,GUM,52287
Guatemala,GTM,1250282
Guernsey,GGY,35326
Guinea,GIN,38572
Guinea-Bissau,GNB,9614
Guyana,GUY,73751
Haiti,HTI,34228
Holy See,VAT,26
Honduras,HND,472606
